Segment,Month,Value,Type
Furniture (Category),2015-04-01,7944.8369999999995,Actual
Furniture (Category),2015-05-01,6912.787,Actual
Furniture (Category),2015-06-01,13144.5816,Actual
Furniture (Category),2015-07-01,10821.051,Actual
Furniture (Category),2015-08-01,7125.2105,Actual
Furniture (Category),2015-09-01,23816.4808,Actual
Furniture (Category),2015-10-01,12304.247,Actual
Furniture (Category),2015-11-01,21471.0407,Actual
Furniture (Category),2015-12-01,30637.3425,Actual
Furniture (Category),2016-01-01,11739.9416,Actual
Furniture (Category),2016-02-01,3134.374,Actual
Furniture (Category),2016-03-01,8722.6374,Actual
Furniture (Category),2016-04-01,10475.6985,Actual
Furniture (Category),2016-05-01,9374.950499999999,Actual
Furniture (Category),2016-06-01,7540.9710000000005,Actual
Furniture (Category),2016-07-01,13667.04,Actual
Furniture (Category),2016-08-01,9638.5922,Actual
Furniture (Category),2016-09-01,25085.423,Actual
Furniture (Category),2016-10-01,11664.4875,Actual
Furniture (Category),2016-11-01,30197.500500000002,Actual
Furniture (Category),2016-12-01,22812.2512,Actual
Furniture (Category),2017-01-01,7622.743,Actual
Furniture (Category),2017-02-01,3925.551,Actual
Furniture (Category),2017-03-01,12272.662,Actual
Furniture (Category),2017-04-01,13212.09,Actual
Furniture (Category),2017-05-01,14892.575,Actual
Furniture (Category),2017-06-01,12450.524,Actual
Furniture (Category),2017-07-01,12569.759,Actual
Furniture (Category),2017-08-01,11910.0583,Actual
Furniture (Category),2017-09-01,26755.4749,Actual
Furniture (Category),2017-10-01,11813.009000000002,Actual
Furniture (Category),2017-11-01,31783.6288,Actual
Furniture (Category),2017-12-01,36604.965,Actual
Furniture (Category),2018-01-01,5930.162,Actual
Furniture (Category),2018-02-01,6774.3774,Actual
Furniture (Category),2018-03-01,10893.444800000001,Actual
Furniture (Category),2018-04-01,9065.9581,Actual
Furniture (Category),2018-05-01,16957.5582,Actual
Furniture (Category),2018-06-01,17032.3867,Actual
Furniture (Category),2018-07-01,11375.822,Actual
Furniture (Category),2018-08-01,15419.122,Actual
Furniture (Category),2018-09-01,28516.706,Actual
Furniture (Category),2018-10-01,21884.0682,Actual
Furniture (Category),2018-11-01,37056.715000000004,Actual
Furniture (Category),2018-12-01,31407.466800000002,Actual
Furniture (Category),2019-01-01,10230.646195296897,Forecast
Furniture (Category),2019-02-01,6901.605502024746,Forecast
Furniture (Category),2019-03-01,13843.011621392641,Forecast
Technology (Category),2015-01-01,3143.29,Actual
Technology (Category),2015-02-01,1608.51,Actual
Technology (Category),2015-03-01,32359.974,Actual
Technology (Category),2015-04-01,8973.144,Actual
Technology (Category),2015-05-01,9599.876,Actual
Technology (Category),2015-06-01,8435.965,Actual
Technology (Category),2015-07-01,7839.284,Actual
Technology (Category),2015-08-01,8937.05,Actual
Technology (Category),2015-09-01,30383.748,Actual
Technology (Category),2015-10-01,11938.018,Actual
Technology (Category),2015-11-01,30073.424,Actual
Technology (Category),2015-12-01,20573.224000000002,Actual
Technology (Category),2016-01-01,4518.236,Actual
Technology (Category),2016-02-01,3448.9700000000003,Actual
Technology (Category),2016-03-01,10143.942,Actual
Technology (Category),2016-04-01,11160.952000000001,Actual
Technology (Category),2016-05-01,11643.0,Actual
Technology (Category),2016-06-01,6435.366,Actual
Technology (Category),2016-07-01,10234.976,Actual
Technology (Category),2016-08-01,15444.642,Actual
Technology (Category),2016-09-01,19017.128,Actual
Technology (Category),2016-10-01,10704.89,Actual
Technology (Category),2016-11-01,23873.601,Actual
Technology (Category),2016-12-01,35632.028,Actual
Technology (Category),2017-01-01,5620.066,Actual
Technology (Category),2017-02-01,12258.914,Actual
Technology (Category),2017-03-01,21567.852000000003,Actual
Technology (Category),2017-04-01,14890.501999999999,Actual
Technology (Category),2017-05-01,28832.691,Actual
Technology (Category),2017-06-01,16372.152,Actual
Technology (Category),2017-07-01,12847.2,Actual
Technology (Category),2017-08-01,9672.402,Actual
Technology (Category),2017-09-01,19424.514,Actual
Technology (Category),2017-10-01,31533.374,Actual
Technology (Category),2017-11-01,27141.059,Actual
Technology (Category),2017-12-01,21801.218,Actual
Technology (Category),2018-01-01,16493.333,Actual
Technology (Category),2018-02-01,5768.448,Actual
Technology (Category),2018-03-01,33428.622,Actual
Technology (Category),2018-04-01,12261.005000000001,Actual
Technology (Category),2018-05-01,13374.62,Actual
Technology (Category),2018-06-01,16937.24,Actual
Technology (Category),2018-07-01,23209.926,Actual
Technology (Category),2018-08-01,17619.162,Actual
Technology (Category),2018-09-01,26028.659,Actual
Technology (Category),2018-10-01,32855.663,Actual
Technology (Category),2018-11-01,49409.102999999996,Actual
Technology (Category),2018-12-01,21984.91,Actual
Technology (Category),2019-01-01,12917.692111031067,Forecast
Technology (Category),2019-02-01,9342.090531813885,Forecast
Technology (Category),2019-03-01,38477.60880566352,Forecast
Office Supplies (Category),2015-01-01,4845.14,Actual
Office Supplies (Category),2015-02-01,1071.724,Actual
Office Supplies (Category),2015-03-01,8602.455,Actual
Office Supplies (Category),2015-04-01,10988.874,Actual
Office Supplies (Category),2015-05-01,7131.639999999999,Actual
Office Supplies (Category),2015-06-01,12742.389,Actual
Office Supplies (Category),2015-07-01,15121.207999999999,Actual
Office Supplies (Category),2015-08-01,11055.276,Actual
Office Supplies (Category),2015-09-01,27423.298000000003,Actual
Office Supplies (Category),2015-10-01,7211.128,Actual
Office Supplies (Category),2015-11-01,26363.196,Actual
Office Supplies (Category),2015-12-01,16956.492,Actual
Office Supplies (Category),2016-01-01,1808.78,Actual
Office Supplies (Category),2016-02-01,5368.067,Actual
Office Supplies (Category),2016-03-01,13472.739,Actual
Office Supplies (Category),2016-04-01,12517.818,Actual
Office Supplies (Category),2016-05-01,8941.58,Actual
Office Supplies (Category),2016-06-01,9623.037,Actual
Office Supplies (Category),2016-07-01,4706.243,Actual
Office Supplies (Category),2016-08-01,11735.108,Actual
Office Supplies (Category),2016-09-01,19031.055,Actual
Office Supplies (Category),2016-10-01,8642.36,Actual
Office Supplies (Category),2016-11-01,21178.298,Actual
Office Supplies (Category),2016-12-01,16099.322,Actual
Office Supplies (Category),2017-01-01,5299.682,Actual
Office Supplies (Category),2017-02-01,6794.349999999999,Actual
Office Supplies (Category),2017-03-01,17324.545000000002,Actual
Office Supplies (Category),2017-04-01,10577.175,Actual
Office Supplies (Category),2017-05-01,12931.642,Actual
Office Supplies (Category),2017-06-01,10901.81,Actual
Office Supplies (Category),2017-07-01,12903.824,Actual
Office Supplies (Category),2017-08-01,8959.74,Actual
Office Supplies (Category),2017-09-01,23013.402,Actual
Office Supplies (Category),2017-10-01,16236.65,Actual
Office Supplies (Category),2017-11-01,20141.808,Actual
Office Supplies (Category),2017-12-01,37332.938,Actual
Office Supplies (Category),2018-01-01,21052.979,Actual
Office Supplies (Category),2018-02-01,7378.172,Actual
Office Supplies (Category),2018-03-01,14541.346,Actual
Office Supplies (Category),2018-04-01,14214.947,Actual
Office Supplies (Category),2018-05-01,13493.804,Actual
Office Supplies (Category),2018-06-01,14221.101,Actual
Office Supplies (Category),2018-07-01,10239.356,Actual
Office Supplies (Category),2018-08-01,29799.564,Actual
Office Supplies (Category),2018-09-01,31607.523,Actual
Office Supplies (Category),2018-10-01,22708.4,Actual
Office Supplies (Category),2018-11-01,31472.337,Actual
Office Supplies (Category),2018-12-01,29638.012,Actual
Office Supplies (Category),2019-01-01,17220.583338354638,Forecast
Office Supplies (Category),2019-02-01,8835.169003843157,Forecast
Office Supplies (Category),2019-03-01,23898.878758072628,Forecast
West (Region),2015-01-01,2938.723,Actual
West (Region),2015-02-01,1057.956,Actual
West (Region),2015-03-01,11008.898000000001,Actual
West (Region),2015-04-01,9070.357,Actual
West (Region),2015-05-01,6570.438,Actual
West (Region),2015-06-01,9629.422,Actual
West (Region),2015-07-01,21808.553,Actual
West (Region),2015-08-01,12742.949,Actual
West (Region),2015-09-01,14900.537,Actual
West (Region),2015-10-01,8728.758,Actual
West (Region),2015-11-01,23044.9365,Actual
West (Region),2015-12-01,24406.4355,Actual
West (Region),2016-01-01,6026.736000000001,Actual
West (Region),2016-02-01,1804.178,Actual
West (Region),2016-03-01,12268.468,Actual
West (Region),2016-04-01,9015.284,Actual
West (Region),2016-05-01,12042.655499999999,Actual
West (Region),2016-06-01,5088.95,Actual
West (Region),2016-07-01,7089.826,Actual
West (Region),2016-08-01,12548.359,Actual
West (Region),2016-09-01,12562.572,Actual
West (Region),2016-10-01,13623.494,Actual
West (Region),2016-11-01,13825.732,Actual
West (Region),2016-12-01,27813.313000000002,Actual
West (Region),2017-01-01,3657.822,Actual
West (Region),2017-02-01,3100.162,Actual
West (Region),2017-03-01,17559.031,Actual
West (Region),2017-04-01,10482.009,Actual
West (Region),2017-05-01,10694.247,Actual
West (Region),2017-06-01,18527.007,Actual
West (Region),2017-07-01,15280.883,Actual
West (Region),2017-08-01,11817.852,Actual
West (Region),2017-09-01,19701.3185,Actual
West (Region),2017-10-01,15624.694,Actual
West (Region),2017-11-01,23923.004999999997,Actual
West (Region),2017-12-01,32103.198,Actual
West (Region),2018-01-01,12081.844,Actual
West (Region),2018-02-01,9434.780999999999,Actual
West (Region),2018-03-01,29024.098,Actual
West (Region),2018-04-01,13459.753,Actual
West (Region),2018-05-01,15365.985999999999,Actual
West (Region),2018-06-01,15844.9395,Actual
West (Region),2018-07-01,20767.539,Actual
West (Region),2018-08-01,25471.374,Actual
West (Region),2018-09-01,27107.217,Actual
West (Region),2018-10-01,21203.092,Actual
West (Region),2018-11-01,28718.207,Actual
West (Region),2018-12-01,29652.094999999998,Actual
West (Region),2019-01-01,12936.551831035937,Forecast
West (Region),2019-02-01,8562.413812105335,Forecast
West (Region),2019-03-01,33361.41329771747,Forecast
East (Region),2015-01-01,436.17400000000004,Actual
East (Region),2015-02-01,199.77599999999998,Actual
East (Region),2015-03-01,5458.176,Actual
East (Region),2015-04-01,3054.906,Actual
East (Region),2015-05-01,7250.103,Actual
East (Region),2015-06-01,10759.155999999999,Actual
East (Region),2015-07-01,3403.296,Actual
East (Region),2015-08-01,4582.448,Actual
East (Region),2015-09-01,25292.789,Actual
East (Region),2015-10-01,8945.124,Actual
East (Region),2015-11-01,33573.195,Actual
East (Region),2015-12-01,24697.676,Actual
East (Region),2016-01-01,4563.876,Actual
East (Region),2016-02-01,6463.133,Actual
East (Region),2016-03-01,3467.537,Actual
East (Region),2016-04-01,7778.796,Actual
East (Region),2016-05-01,7309.268,Actual
East (Region),2016-06-01,7442.988,Actual
East (Region),2016-07-01,11715.598,Actual
East (Region),2016-08-01,9383.782000000001,Actual
East (Region),2016-09-01,29401.006999999998,Actual
East (Region),2016-10-01,6302.03,Actual
East (Region),2016-11-01,34724.761,Actual
East (Region),2016-12-01,24672.407,Actual
East (Region),2017-01-01,4860.0869999999995,Actual
East (Region),2017-02-01,3149.821,Actual
East (Region),2017-03-01,16764.857,Actual
East (Region),2017-04-01,17769.696,Actual
East (Region),2017-05-01,22258.463,Actual
East (Region),2017-06-01,11188.446,Actual
East (Region),2017-07-01,8524.197,Actual
East (Region),2017-08-01,8691.783,Actual
East (Region),2017-09-01,20198.523999999998,Actual
East (Region),2017-10-01,15065.464999999998,Actual
East (Region),2017-11-01,22636.619,Actual
East (Region),2017-12-01,27403.579999999998,Actual
East (Region),2018-01-01,5383.284,Actual
East (Region),2018-02-01,4968.522,Actual
East (Region),2018-03-01,7691.016,Actual
East (Region),2018-04-01,9251.279999999999,Actual
East (Region),2018-05-01,6119.369,Actual
East (Region),2018-06-01,14917.427,Actual
East (Region),2018-07-01,12321.823,Actual
East (Region),2018-08-01,20741.946,Actual
East (Region),2018-09-01,31520.154,Actual
East (Region),2018-10-01,32295.24,Actual
East (Region),2018-11-01,45633.639,Actual
East (Region),2018-12-01,19285.486,Actual
East (Region),2019-01-01,7630.973076710372,Forecast
East (Region),2019-02-01,7613.44722795439,Forecast
East (Region),2019-03-01,13130.943070294987,Forecast
